Intent,ANSWERS
1,The links are: #@www.mahacet.org #@http://www.dtemaharashtra.gov.in/index.html  #@http://cetcell.mahacet.org/ #@https://mhtcet2020.mahaonline.gov.in/Content/PDF/Advt/MHT-CET_Engg_Tech_Pharmacy_Pharm_D.pdf
2,The detailed schedule of the admission procedure is available on #@http://www.dtemaharashtra.gov.in/index.html as FE notification.
3,Yes.You will be provided all necessary guidance through Admission Cell.
4,"We do not have any agents through whom you can apply. Students/Parents should contact us directly for any information/admission. Our admission process is very transparent. We follow all the guidelines of DTE. We do not charge any Capitation fees. For Institute quota also fees is same as other students.
"
5,"YES but, they should have a valid score in MH – CET / JEE (Main) for that Year and should pass XIIth examination in English with minimum 50% marks in Physics, Chemistry (could be replaced with permissible technical vocational subject) and Mathematics.
"
6,"A format will be provided (Form O) in the DTE/CET Cell Information Brochure and the duly filled format to be submitted at the time of form submission. However, the duly filled format to be submitted in Rs.100/- stamp paper and duly notarised.
"
7,"You can apply as Open candidate through Centralised Admission Process (Conducted by the Maharashtra State CET Cell)  or under Management Quota through the respective institute.
"
8,"Minority Institution means seats earmarked for the Minority Community students from within the State, belonging to the Minority Community either Linguistic (based on the mother tongue) or Religious to which the institution belongs. Our institute belongs to Tamil - Linguistic Minority category. This provision is made as per the Constitution of India.
"
9,"The application process for engineering admission is conducted by State Common Entrance Test Cell, Govt. of Maharashtra. It is MANDATORY for the candidate to REGISTER and ENROL on the website  for becoming part of the Central Admission Process(CAP)."
10,"No, you need to apply only after the result of XII and CET/JEE result."
11,"Two ways: #$Seats allotted by DTE through online CAP process. #$Management quota through merit basis prepared by the institute. We do not accept any Capitation Fees.
"
12,The DTE code of SIES Graduate School of Technology 3211.
13,"A Student applying for admission should carry the original and 2 sets of photocopies of all his testimonials. The documents required are:#$Adhaar Card #$10ᵗʰ Marksheet #$12ᵗʰ Marksheet #$Proof of Entrance Exam #$5 Passport size photographs #$Proof of Gap years (if any)#$Domicile Certificate #$Birth Certificate #$Minority Language Certificate
"
14,"Yes. Your admission is confirmed only when you pay the fees as applicable and submit all the required documents in original."
15,"You need to register with DTE first and then fill college application form. You can do it online also by purchasing admission brochure to register "
16,"Admission through Institute / Management quota in SIES is purely on the basis of MERIT. All the candidates applying under quota will be eligible  for participating in admission process. But registration with DTE is mandatory. A separate ( Different from DTE)  merit list will be prepared and displayed and the candidates will be called for counselling round/s. Rules and regulations are same as of DTE.
"
17,"No. Merely applying doesn’t ensure admission in the institute. Admission depends on the merit list and the top candidates confirming/accepting the seat in the branch of their choice.
"
18,"YES. Registration and Enrolment on the web portal of State Common Entrance Test Cell, Govt. of Maharashtra is MANDATORY."
19,"#$Electronics & Telecommunication Engg :24#$Computer Engineering :18#$Information Technology :12#$Printing & Packaging Tech. :12#$Mechanical Engineering :12
"
20,"Total Intake is 390 (EXTC : 120, CE: 90, IT : 60, PPT : 60 & Mech. Engg.:60)"
21,"#$Electronics & Telecommunication Engg :120#$Computer Engineering :90#$Information Technology :60#$Printing & Packaging Tech. :60#$Mechanical Engineering :60
"
22,"#$Electronics & Telecommunication Engg :35#$Computer Engineering :26#$Information Technology :17#$Printing & Packaging Tech. :17#$Mechanical Engineering :17
"
23,"#$Electronics & Telecommunication Engg :61#$Computer Engineering :46#$Information Technology :31#$Printing & Packaging Tech. :31#$Mechanical Engineering :31
"
24,"Candidates intending to apply for B. E. should pass XIIth examination in English with minimum 50% marks in Physics, Chemistry (could be replaced with permissible technical vocational subject) and Mathematics. Further, the candidate is also required to have a valid score in MHT – CET / JEE (Main) for that Year."
25,"The cut off varies from branch to branch. Also, the cut off for different quota (e.g. minority quota, DTE open candidate home university quota, other university quota, Institute level quota, TFWS quota, J&K quota etc) is different. So this query can be answered during personal interaction. Still for the reference the round-wise cut off list is available on the DTE website."
26,"Campus is approximately 2 km away from the Nerul station. Anyone can easily walk down. Also shared autos are available 24x7.
"
27,"College timings are 9 am to 5 pm. On Saturday, regular lectures are not there but most of the activities are conducted on Saturday. Please do not enrol your ward for any tuitions outside. Our faculty members are very experienced to provide extra guidance to students."
28,"There are five branches:#$Computer Engineering#$Information Technology#$Mechanical Engineering#$Electronics and Telecommunication
#$Printing and Packaging Technology
"
29,"Practically there is no difference B.E. is Bachelor of Engineering & B. Tech. is Bachelor of Technology. In the state of Maharashtra most of the universities have named the engineering course as BE while IIT’s & few autonomous institutes like COE, Pune have named their programs as B.Tech. Students are requested to go through the syllabus to know more about the program."
30,"Our expert faculty will provide necessary guidance"
31,YES. But it depends upon the vacancy position in the branch of your choice. Additionally candidates should fulfil all the conditions/ rules laid down by the competent authorities. The branch/course change will be considered based on merit of First Year Engineering result/s.
32,All branches are good. It is important to understand the interest of your ward.
33,"Yes. We have very good canteen facility and Cafeteria. However, we insist on home food at first year level.
"
34,NO. But college provides guidance to avail hostel /separate room in the vicinity .
35,"Lush Green Campus , Eco-Smart Classroom with round the clock accessible WI-FI, Overhead projectors incorporated in every classroom for better teaching support, Thousands of Books accessible to students, with ease of access facility using Digital Library, State of the Art Labs, Air conditioned Auditorium, Seminar hall, Computer Center, Language Lab. Additionally we have Bank Facility, Stationery Shop, Student Recreation Area, ideal Campus Security with CCTV and state of the art Gym Facility.
"
36,"Yes. The institute is NAAC accredited with B++. Also we have applied for NBA accreditation and completed all necessary requirements. The peer team visit is awaited."
37,"The teachers are very well qualified, highly experienced and  dedicated.
"
38,"No, the college is not Autonomous. It is affiliated under the University of Mumbai."
39,"YES, Our Institute has signed MOUs with more than 10 industries.#$Industrial visit is a regular activity of our students.We have very Active Institute Industry Interaction Cell for seeking avenues of collaborative activities in the form of Projects/Training/ Placement.
"
40,"There are many active Students Chapters like IEEE, CSI, ISTE, ISHRE, BAHA etc which organises various Technical Events/Competitions. Apart from this, there are other activities are conducted under  Robotics Club, Literary Club, Music Group, Drama Club, Cultural Club, Sports Cell etc ."
41,"Very GOOD, SIES GST has an exclusive Training and Placement Cell continuously engaged in the training and placement activities round the year. Quite a good number of companies carry out campus placements.#$Some of the recruiters visiting regularly include:
Infosys, Cognizant, Endress+Hauser, Siemens, L&T Infotech, Persistent Systems, Tech Mahendra, Byjus, Jio, Endurance, Lombardini, Kelvolt, KPIT, Jindal Polyfilms, Patni Computers, Syntel, i-Flex, Mphasis, Videocon, John Deere, Seed Infotech, Varroc, Expert Global Solutions, and so on.Please visit the link on our website:#@http://www.siesgst.edu.in/#$for more details.The salary ranges from 4 lac to 8 lac per annum.
"
42,"Since the institution has many Industries tie ups, it helps students getting internships in industry. Apart from that our internal faculty members are working on different projects, offer internship to students."
43,"Apart from Government scholarship schemes, many private scholarships are available. The management seat scholarships are also available.
"
44,"Yes, documents for Bank Loans will be issued after the confirmation of admission."
45,"NO. At any given point of time, you are eligible to apply for any ONE of the scholarship schemes as discussed above. If found violating this, serious action can be initiated against the candidate / student."
46,"Candidate should be domiciled in the State of Maharashtra and produce all required documents as per scholarship category and prevailing norms."
47,"YES, however, it can be paid in instalments with special permission and subject to norms and conditions laid down by the Management."
48,"Generally YES. However, the guidelines will be followed as prescribed by the concerned authority (Fee regulation Authority) from time to time."
49,It is Tuition Fee Waiver  Scheme by AICTE/Government of Maharashtra for meritorious students from state of Maharashtra and having their parents annual income below 6.00 lakh. These seats shall be filled by competent authorities.
50,"Category Concession is applicable ONLY to the candidates who have secured admission through CAP and belonging to Maharashtra. Concession is applicable as per the government  resolution/ directives  issued by competent authorities."
51,"Fees is as per the DTE rules. It is displayed on website #@http://www.siesgst.edu.in/
"
52,Dr. Aparna Bannore. For more information click on the link below #@https://sites.google.com/siesgst.ac.in/aparnabannore
53,"Dr. Manasi Karkare. For more information click on the link below#@ https://sites.google.com/siesgst.ac.in/manasikarkare/home
"
54,"Dr. Preeti Hemnani. For more information click on the link below #@https://sites.google.com/siesgst.ac.in/preetiahemnani
"
55,"Dr. Lakshmi Sudha. Kondaka.For more information click on the link below #@https://sites.google.com/siesgst.ac.in/lakshmi-sudha-kondaka
"
56,"Prasad Balan Iyer.For more information click on the link below #@https://sites.google.com/siesgst.ac.in/prasadbalaniyer/profile
"
57,"Dr. Rupendra S. Nehete. For more information click on the link below #@https://sites.google.com/siesgst.ac.in/dr-rupendra-s-nehete/
"
58,"Please click on the link for faculty information of#@http://www.siesgst.edu.in/academics/CE/cefaculty.php
"
59,"Please click on the link for faculty information of#@http://www.siesgst.edu.in/academics/humanities/humanities_faculty.php
"
60,"Please click on the link for faculty information of #@http://www.siesgst.edu.in/academics/EXTC/extcfaculty.php
"
61,"Please click on the link for faculty information of#@http://www.siesgst.edu.in/academics/IT/itfaculty.php
"
62,"Please click on the link for faculty information of#@http://www.siesgst.edu.in/academics/PPT/pptfaculty.php
"
63,"Please click on the link for faculty information of#@http://www.siesgst.edu.in/academics/ME/mefaculty.php
"
64,"Please click on the below link for detailed information about the Computer Engineering department.This includes information about Vision, Mission & PEO’s,Faculty,Technical Staff,Laboratories,Curriculum & Syllabus,PSO, PO’s & CO’s,Annual Report,Professional Body,SDP.#@http://www.siesgst.edu.in/academics/CE/CEHome.php
"
65,"Please click on the below link for detailed information about the First year Engineering department.This includes information about Vision, Mission & PEO’s,Faculty,Technical Staff,Laboratories,Curriculum & Syllabus,PSO, PO’s & CO’s,Annual Report,Professional Body,SDP.#@http://www.siesgst.edu.in/academics/humanities/humanities.php
"
66,"Please click on the below link for detailed information about the Electronics & Telecommunication department.This includes information about Vision, Mission & PEO’s,Faculty,Technical Staff,Laboratories,Curriculum & Syllabus,PSO, PO’s & CO’s,Annual Report,Professional Body,SDP.#@http://www.siesgst.edu.in/academics/EXTC/EXTChome.php
"
67,"Please click on the below link for detailed information about  the Information Technology department.This includes information about Vision, Mission & PEO’s,Faculty,Technical Staff,Laboratories,Curriculum & Syllabus,PSO, PO’s & CO’s,Annual Report,Professional Body,SDP.
#@http://www.siesgst.edu.in/academics/IT/IThome.php
"
68,"Please click on the below link for detailed information about the Printing and packaging  Technology department.This includes information about Vision, Mission & PEO’s,Faculty,Technical Staff,Laboratories,Curriculum & Syllabus,PSO, PO’s & CO’s,Annual Report,Professional Body,SDP.#@http://www.siesgst.edu.in/academics/PPT/index.php
"
69,"Please click on the below link for detailed information about the Mechanical Engineering department.This includes information about Vision, Mission & PEO’s,Faculty,Technical Staff,Laboratories,Curriculum & Syllabus,PSO, PO’s & CO’s,Annual Report,Professional Body,SDP.
#@http://www.siesgst.edu.in/academics/ME/mehome.php
"
70,"Dr.Atul N Kemkar. For more information click on the link below #@https://sites.google.com/siesgst.ac.in/dratulnkemkar
"
71,Please visit #@http://www.siesgst.edu.in/topbar/admissions.php 
72,Please visit #@http://www.siesgst.edu.in/topbar/admissions.php 
